author_link,author_name,average_rating,kindle_price,link,n_pages,rating_count,review_count,title
https://www.goodreads.com/author/show/8529755.Mark_Manson,Mark Manson,3.90,,https://www.goodreads.com/book/show/28257707-the-subtle-art-of-not-giving-a-f-ck,"212 pages, Paperback","963,248","53,512",The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life
https://www.goodreads.com/author/show/96150.Daniel_H_Pink,Daniel H. Pink,3.92,Kindle $14.99,https://www.goodreads.com/book/show/99315.A_Whole_New_Mind,"275 pages, Paperback","28,782","1,977",A Whole New Mind: Why Right-Brainers Will Rule the Future
https://www.goodreads.com/author/show/4199891.Brian_Christian,Brian Christian,4.13,Kindle Unlimited $0.00,https://www.goodreads.com/book/show/25666050-algorithms-to-live-by,"368 pages, Hardcover","28,880","2,637",Algorithms to Live By: The Computer Science of Human Decisions
https://www.goodreads.com/author/show/18352832.Steve_Pemberton,Steve  Pemberton,4.31,Kindle $12.99,https://www.goodreads.com/book/show/58868338-the-lighthouse-effect,"240 pages, ebook","6,241",53,The Lighthouse Effect: How Ordinary People Can Have an Extraordinary Impact in the World
https://www.goodreads.com/author/show/18294819.Aimee_Cabo_Nikolov,Aimee Cabo Nikolov,4.29,Kindle Unlimited $0.00,https://www.goodreads.com/book/show/64653012-god-is-the-cure-love-is-the-answer,"154 pages, Paperback","10,625",104,"God Is the Cure, Love Is the Answer: A Memoir"
https://www.goodreads.com/author/show/11246552.Misty_Griffin,Misty Griffin,4.28,Kindle Unlimited $0.00,https://www.goodreads.com/book/show/40974159-tears-of-the-silenced,"384 pages, Kindle Edition","19,723","1,527",Tears of the Silenced
https://www.goodreads.com/author/show/18921025.David_Crow,David   Crow,4.29,Kindle Unlimited $0.00,https://www.goodreads.com/book/show/44167792-the-pale-faced-lie,"352 pages, Hardcover","21,590","2,160",The Pale-Faced Lie
https://www.goodreads.com/author/show/5201530.Charles_Duhigg,Charles Duhigg,4.13,,https://www.goodreads.com/book/show/13133452-the-power-of-habit,"11 pages, Audiobook","474,407","21,600",The Power of Habit: Why We Do What We Do in Life and Business
https://www.goodreads.com/author/show/5082292.Leigh_Byrne,Leigh Byrne,4.25,Kindle Unlimited $0.00,https://www.goodreads.com/book/show/17794511-call-me-tuesday,"328 pages, Kindle Edition","10,289",668,Call Me Tuesday
https://www.goodreads.com/author/show/9375.Susan_Scott,Susan Scott,4.32,Kindle $11.99,https://www.goodreads.com/book/show/58944475-fierce-love,Audio CD,"7,253",48,Fierce Love: Creating a Love that Lasts—One Conversation at a Time
https://www.goodreads.com/author/show/148884.Twyla_Tharp,Twyla Tharp,4.06,Kindle $14.99,https://www.goodreads.com/book/show/254799.The_Creative_Habit,"247 pages, Paperback","36,342","1,241",The Creative Habit: Learn It and Use It for Life
https://www.goodreads.com/author/show/16072242.Anna_Ruston,Anna Ruston,4.22,Kindle $6.99,https://www.goodreads.com/book/show/32951022-secret-slave,"293 pages, Kindle Edition","5,333",491,Secret Slave: Kidnapped and abused for 13 years. This is my story of survival.
https://www.goodreads.com/author/show/131380.Lundy_Bancroft,Lundy Bancroft,4.45,Kindle $13.99,https://www.goodreads.com/book/show/224552.Why_Does_He_Do_That_,"408 pages, Paperback","11,715","1,324",Why Does He Do That?: Inside the Minds of Angry and Controlling Men
https://www.goodreads.com/author/show/6982678.S_J_Scott,S.J. Scott,3.69,Kindle Unlimited $0.00,https://www.goodreads.com/book/show/31645392-declutter-your-mind,"157 pages, Kindle Edition","6,212",419,"Declutter Your Mind: How to Stop Worrying, Relieve Anxiety, and Eliminate Negative Thinking"
https://www.goodreads.com/author/show/417985.Rick_Hanson,Rick Hanson,3.99,Kindle $10.99,https://www.goodreads.com/book/show/6796675-buddha-s-brain,"252 pages, Paperback","13,485",858,"Buddha's Brain: The Practical Neuroscience of Happiness, Love, and Wisdom"
https://www.goodreads.com/author/show/3517051.Emily_Nagoski,Emily Nagoski,3.97,Kindle $12.99,https://www.goodreads.com/book/show/42397849-burnout,"277 pages, Hardcover","44,442","4,584",Burnout: The Secret to Unlocking the Stress Cycle
https://www.goodreads.com/author/show/22726.Sue_Johnson,Sue Johnson,4.11,Kindle $15.99,https://www.goodreads.com/book/show/2153780.Hold_Me_Tight,"300 pages, Hardcover","16,255","1,062",Hold Me Tight: Seven Conversations for a Lifetime of Love
https://www.goodreads.com/author/show/1771.Sun_Tzu,Sun Tzu,3.96,,https://www.goodreads.com/book/show/10534.The_Art_of_War,"273 pages, Paperback","447,685","16,820",The Art of War
https://www.goodreads.com/author/show/3389.Stephen_King,Stephen King,4.33,Kindle $12.99,https://www.goodreads.com/book/show/10569.On_Writing,"320 pages, Mass Market Paperback","272,128","22,075",On Writing: A Memoir of the Craft
