link,title,author_name,author_link,kindle_price,average_rating,rating_count,review_count,n_pages
https://www.goodreads.com/book/show/59788656-soul-cure,Soul Cure: How to Heal Your Pain and Discover Your Purpose,Gregory Dickow,https://www.goodreads.com/author/show/163477.Gregory_Dickow,Kindle $12.01,3.52,"1,417",15,"272 pages, Hardcover"
https://www.goodreads.com/book/show/13134285-quiet,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,https://www.goodreads.com/author/show/4101935.Susan_Cain,,4.07,"411,009","28,083","11 pages, Audiobook"
https://www.goodreads.com/book/show/4865.How_to_Win_Friends_and_Influence_People,How to Win Friends and Influence People,Dale Carnegie,https://www.goodreads.com/author/show/3317.Dale_Carnegie,,4.22,"896,103","22,495","288 pages, Paperback"
https://www.goodreads.com/book/show/58868338-the-lighthouse-effect,The Lighthouse Effect: How Ordinary People Can Have an Extraordinary Impact in the World,Steve Pemberton,https://www.goodreads.com/author/show/18352832.Steve_Pemberton,Kindle $12.99,4.31,"6,241",53,"240 pages, ebook"
https://www.goodreads.com/book/show/254799.The_Creative_Habit,The Creative Habit: Learn It and Use It for Life,Twyla Tharp,https://www.goodreads.com/author/show/148884.Twyla_Tharp,Kindle $14.99,4.06,"36,344","1,241","247 pages, Paperback"
https://www.goodreads.com/book/show/58944475-fierce-love,Fierce Love: Creating a Love that Lasts—One Conversation at a Time,Susan Scott,https://www.goodreads.com/author/show/9375.Susan_Scott,Kindle $11.99,4.32,"7,253",48,Audio CD
https://www.goodreads.com/book/show/28257707-the-subtle-art-of-not-giving-a-f-ck,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,https://www.goodreads.com/author/show/8529755.Mark_Manson,,3.90,"963,326","53,515","212 pages, Paperback"
https://www.goodreads.com/book/show/99315.A_Whole_New_Mind,A Whole New Mind: Why Right-Brainers Will Rule the Future,Daniel H. Pink,https://www.goodreads.com/author/show/96150.Daniel_H_Pink,Kindle $14.99,3.92,"28,782","1,977","275 pages, Paperback"
https://www.goodreads.com/book/show/13133452-the-power-of-habit,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,https://www.goodreads.com/author/show/5201530.Charles_Duhigg,,4.13,"474,421","21,600","11 pages, Audiobook"
https://www.goodreads.com/book/show/224552.Why_Does_He_Do_That_,Why Does He Do That?: Inside the Minds of Angry and Controlling Men,Lundy Bancroft,https://www.goodreads.com/author/show/131380.Lundy_Bancroft,Kindle $13.99,4.45,"11,715","1,324","408 pages, Paperback"
https://www.goodreads.com/book/show/10534.The_Art_of_War,The Art of War,Sun Tzu,https://www.goodreads.com/author/show/1771.Sun_Tzu,,3.96,"447,695","16,821","273 pages, Paperback"
https://www.goodreads.com/book/show/2743.The_Lost_Boy,The Lost Boy,Dave Pelzer,https://www.goodreads.com/author/show/1881.Dave_Pelzer,Kindle $11.99,4.10,"64,985","3,018","331 pages, Paperback"
https://www.goodreads.com/book/show/32951022-secret-slave,Secret Slave: Kidnapped and abused for 13 years. This is my story of survival.,Anna Ruston,https://www.goodreads.com/author/show/16072242.Anna_Ruston,Kindle $6.99,4.22,"5,333",491,"293 pages, Kindle Edition"
